filename	status	image	canvasId
001.txt	default	https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!351_su_01!001.tif/full/full/0/default.jpg	https://adeac.jp/viewitem/city-aizuwakamatsu/viewer/iiif/351_su_01/canvas/p1.json
002.txt	default	https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!351_su_01!002.tif/full/full/0/default.jpg	https://adeac.jp/viewitem/city-aizuwakamatsu/viewer/iiif/351_su_01/canvas/p2.json
003.txt	default	https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!351_su_01!003.tif/full/full/0/default.jpg	https://adeac.jp/viewitem/city-aizuwakamatsu/viewer/iiif/351_su_01/canvas/p3.json
004.txt	default	https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!351_su_01!004.tif/full/full/0/default.jpg	https://adeac.jp/viewitem/city-aizuwakamatsu/viewer/iiif/351_su_01/canvas/p4.json
005.txt	default	https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!351_su_01!005.tif/full/full/0/default.jpg	https://adeac.jp/viewitem/city-aizuwakamatsu/viewer/iiif/351_su_01/canvas/p5.json
006.txt	default	https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!351_su_01!006.tif/full/full/0/default.jpg	https://adeac.jp/viewitem/city-aizuwakamatsu/viewer/iiif/351_su_01/canvas/p6.json
007.txt	default	https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!351_su_01!007.tif/full/full/0/default.jpg	https://adeac.jp/viewitem/city-aizuwakamatsu/viewer/iiif/351_su_01/canvas/p7.json
008.txt	default	https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!351_su_01!008.tif/full/full/0/default.jpg	https://adeac.jp/viewitem/city-aizuwakamatsu/viewer/iiif/351_su_01/canvas/p8.json
009.txt	default	https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!351_su_01!009.tif/full/full/0/default.jpg	https://adeac.jp/viewitem/city-aizuwakamatsu/viewer/iiif/351_su_01/canvas/p9.json
010.txt	default	https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!351_su_01!010.tif/full/full/0/default.jpg	https://adeac.jp/viewitem/city-aizuwakamatsu/viewer/iiif/351_su_01/canvas/p10.json
011.txt	default	https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!351_su_01!011.tif/full/full/0/default.jpg	https://adeac.jp/viewitem/city-aizuwakamatsu/viewer/iiif/351_su_01/canvas/p11.json
012.txt	default	https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!351_su_01!012.tif/full/full/0/default.jpg	https://adeac.jp/viewitem/city-aizuwakamatsu/viewer/iiif/351_su_01/canvas/p12.json
013.txt	default	https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!351_su_01!013.tif/full/full/0/default.jpg	https://adeac.jp/viewitem/city-aizuwakamatsu/viewer/iiif/351_su_01/canvas/p13.json
014.txt	default	https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!351_su_01!014.tif/full/full/0/default.jpg	https://adeac.jp/viewitem/city-aizuwakamatsu/viewer/iiif/351_su_01/canvas/p14.json
015.txt	default	https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!351_su_01!015.tif/full/full/0/default.jpg	https://adeac.jp/viewitem/city-aizuwakamatsu/viewer/iiif/351_su_01/canvas/p15.json
016.txt	default	https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!351_su_01!016.tif/full/full/0/default.jpg	https://adeac.jp/viewitem/city-aizuwakamatsu/viewer/iiif/351_su_01/canvas/p16.json
017.txt	default	https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!351_su_01!017.tif/full/full/0/default.jpg	https://adeac.jp/viewitem/city-aizuwakamatsu/viewer/iiif/351_su_01/canvas/p17.json
018.txt	default	https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!351_su_01!018.tif/full/full/0/default.jpg	https://adeac.jp/viewitem/city-aizuwakamatsu/viewer/iiif/351_su_01/canvas/p18.json
019.txt	default	https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!351_su_01!019.tif/full/full/0/default.jpg	https://adeac.jp/viewitem/city-aizuwakamatsu/viewer/iiif/351_su_01/canvas/p19.json
020.txt	default	https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!351_su_01!020.tif/full/full/0/default.jpg	https://adeac.jp/viewitem/city-aizuwakamatsu/viewer/iiif/351_su_01/canvas/p20.json
021.txt	default	https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!351_su_01!021.tif/full/full/0/default.jpg	https://adeac.jp/viewitem/city-aizuwakamatsu/viewer/iiif/351_su_01/canvas/p21.json
022.txt	default	https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!351_su_01!022.tif/full/full/0/default.jpg	https://adeac.jp/viewitem/city-aizuwakamatsu/viewer/iiif/351_su_01/canvas/p22.json
023.txt	default	https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!351_su_01!023.tif/full/full/0/default.jpg	https://adeac.jp/viewitem/city-aizuwakamatsu/viewer/iiif/351_su_01/canvas/p23.json
024.txt	default	https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!351_su_01!024.tif/full/full/0/default.jpg	https://adeac.jp/viewitem/city-aizuwakamatsu/viewer/iiif/351_su_01/canvas/p24.json
025.txt	default	https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!351_su_01!025.tif/full/full/0/default.jpg	https://adeac.jp/viewitem/city-aizuwakamatsu/viewer/iiif/351_su_01/canvas/p25.json
