filename	status	image	canvasId
001.txt	completed	https://dl.ndl.go.jp/api/iiif/2551542/R0000001/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/2551542/canvas/1
002.txt	initiated	https://dl.ndl.go.jp/api/iiif/2551542/R0000002/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/2551542/canvas/2
003.txt	default	https://dl.ndl.go.jp/api/iiif/2551542/R0000003/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/2551542/canvas/3
004.txt	completed	https://dl.ndl.go.jp/api/iiif/2551542/R0000004/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/2551542/canvas/4
005.txt	completed	https://dl.ndl.go.jp/api/iiif/2551542/R0000005/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/2551542/canvas/5
006.txt	completed	https://dl.ndl.go.jp/api/iiif/2551542/R0000006/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/2551542/canvas/6
007.txt	completed	https://dl.ndl.go.jp/api/iiif/2551542/R0000007/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/2551542/canvas/7
008.txt	completed	https://dl.ndl.go.jp/api/iiif/2551542/R0000008/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/2551542/canvas/8
009.txt	completed	https://dl.ndl.go.jp/api/iiif/2551542/R0000009/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/2551542/canvas/9
010.txt	completed	https://dl.ndl.go.jp/api/iiif/2551542/R0000010/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/2551542/canvas/10
011.txt	completed	https://dl.ndl.go.jp/api/iiif/2551542/R0000011/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/2551542/canvas/11
012.txt	completed	https://dl.ndl.go.jp/api/iiif/2551542/R0000012/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/2551542/canvas/12
013.txt	completed	https://dl.ndl.go.jp/api/iiif/2551542/R0000013/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/2551542/canvas/13
014.txt	completed	https://dl.ndl.go.jp/api/iiif/2551542/R0000014/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/2551542/canvas/14
