filename	status	image
001.txt	completed	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257649/f1/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257649/canvas/f1
002.txt	completed	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257649/f2/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257649/canvas/f2
003.txt	initiated	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257649/f3/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257649/canvas/f3
004.txt	initiated	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257649/f4/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257649/canvas/f4
005.txt	initiated	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257649/f5/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257649/canvas/f5
006.txt	initiated	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257649/f6/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257649/canvas/f6
007.txt	initiated	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257649/f7/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257649/canvas/f7
008.txt	initiated	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257649/f8/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257649/canvas/f8
009.txt	initiated	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257649/f9/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257649/canvas/f9
010.txt	initiated	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257649/f10/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257649/canvas/f10
011.txt	initiated	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257649/f11/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257649/canvas/f11
012.txt	initiated	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257649/f12/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257649/canvas/f12
013.txt	initiated	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257649/f13/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257649/canvas/f13
014.txt	initiated	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257649/f14/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257649/canvas/f14
015.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257649/f15/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257649/canvas/f15
016.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257649/f16/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257649/canvas/f16
