filename,status,image
001.txt,completed,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA077_01%2FNA077_01_001.tif/full/full/0/default.jpg
002.txt,completed,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA077_01%2FNA077_01_002.tif/full/full/0/default.jpg
003.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA077_01%2FNA077_01_003.tif/full/full/0/default.jpg
004.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA077_01%2FNA077_01_004.tif/full/full/0/default.jpg
005.txt,initiated,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA077_01%2FNA077_01_005.tif/full/full/0/default.jpg
006.txt,initiated,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA077_01%2FNA077_01_006.tif/full/full/0/default.jpg
007.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA077_01%2FNA077_01_007.tif/full/full/0/default.jpg
008.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA077_01%2FNA077_01_008.tif/full/full/0/default.jpg
009.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA077_01%2FNA077_01_009.tif/full/full/0/default.jpg
010.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA077_01%2FNA077_01_010.tif/full/full/0/default.jpg
011.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA077_01%2FNA077_01_011.tif/full/full/0/default.jpg
012.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA077_01%2FNA077_01_012.tif/full/full/0/default.jpg
013.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA077_01%2FNA077_01_013.tif/full/full/0/default.jpg
014.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA077_01%2FNA077_01_014.tif/full/full/0/default.jpg
015.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA077_01%2FNA077_01_015.tif/full/full/0/default.jpg
016.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA077_01%2FNA077_01_016.tif/full/full/0/default.jpg
017.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA077_01%2FNA077_01_017.tif/full/full/0/default.jpg
018.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA077_01%2FNA077_01_018.tif/full/full/0/default.jpg
019.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA077_01%2FNA077_01_019.tif/full/full/0/default.jpg
020.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA077_01%2FNA077_01_020.tif/full/full/0/default.jpg
021.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA077_01%2FNA077_01_021.tif/full/full/0/default.jpg
022.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA077_01%2FNA077_01_022.tif/full/full/0/default.jpg
023.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA077_01%2FNA077_01_023.tif/full/full/0/default.jpg
024.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA077_01%2FNA077_01_024.tif/full/full/0/default.jpg
025.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA077_01%2FNA077_01_025.tif/full/full/0/default.jpg
026.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA077_01%2FNA077_01_026.tif/full/full/0/default.jpg
027.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA077_01%2FNA077_01_027.tif/full/full/0/default.jpg
028.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA077_01%2FNA077_01_028.tif/full/full/0/default.jpg
029.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA077_01%2FNA077_01_029.tif/full/full/0/default.jpg
030.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA077_01%2FNA077_01_030.tif/full/full/0/default.jpg
031.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA077_01%2FNA077_01_031.tif/full/full/0/default.jpg
032.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA077_01%2FNA077_01_032.tif/full/full/0/default.jpg
033.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA077_01%2FNA077_01_033.tif/full/full/0/default.jpg
034.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA077_01%2FNA077_01_034.tif/full/full/0/default.jpg
035.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA077_01%2FNA077_01_035.tif/full/full/0/default.jpg
