filename,status,image
001.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/f1/full/full/0/default.jpg
002.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/f2/full/full/0/default.jpg
003.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/f3/full/full/0/default.jpg
004.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/f4/full/full/0/default.jpg
005.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/f5/full/full/0/default.jpg
006.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/f6/full/full/0/default.jpg
007.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/f7/full/full/0/default.jpg
008.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/f8/full/full/0/default.jpg
009.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/f9/full/full/0/default.jpg
010.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/f10/full/full/0/default.jpg
011.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/f11/full/full/0/default.jpg
012.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/f12/full/full/0/default.jpg
013.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/f13/full/full/0/default.jpg
014.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/f14/full/full/0/default.jpg
015.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/f15/full/full/0/default.jpg
016.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/f16/full/full/0/default.jpg
017.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/f17/full/full/0/default.jpg
018.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/f18/full/full/0/default.jpg
019.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/f19/full/full/0/default.jpg
020.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/f20/full/full/0/default.jpg
021.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/f21/full/full/0/default.jpg
022.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/f22/full/full/0/default.jpg
023.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/f23/full/full/0/default.jpg
024.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/f24/full/full/0/default.jpg
025.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/f25/full/full/0/default.jpg
026.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/f26/full/full/0/default.jpg
027.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/f27/full/full/0/default.jpg
028.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/f28/full/full/0/default.jpg
029.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/f29/full/full/0/default.jpg
030.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/f30/full/full/0/default.jpg
031.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/f31/full/full/0/default.jpg
032.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/f32/full/full/0/default.jpg
033.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/f33/full/full/0/default.jpg
034.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/f34/full/full/0/default.jpg
035.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/f35/full/full/0/default.jpg
036.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/f36/full/full/0/default.jpg
037.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/f37/full/full/0/default.jpg
038.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/f38/full/full/0/default.jpg
039.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/f39/full/full/0/default.jpg
040.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/f40/full/full/0/default.jpg
041.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/f41/full/full/0/default.jpg
042.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/f42/full/full/0/default.jpg
043.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/f43/full/full/0/default.jpg
044.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/f44/full/full/0/default.jpg
