filename,status,image
001.txt,default,https://iiif.dl.itc.u-tokyo.ac.jp/iiif/katei/0633/06330001.tif/full/full/0/default.jpg
002.txt,default,https://iiif.dl.itc.u-tokyo.ac.jp/iiif/katei/0633/06330002.tif/full/full/0/default.jpg
003.txt,default,https://iiif.dl.itc.u-tokyo.ac.jp/iiif/katei/0633/06330003.tif/full/full/0/default.jpg
004.txt,default,https://iiif.dl.itc.u-tokyo.ac.jp/iiif/katei/0633/06330004.tif/full/full/0/default.jpg
005.txt,default,https://iiif.dl.itc.u-tokyo.ac.jp/iiif/katei/0633/06330005.tif/full/full/0/default.jpg
006.txt,default,https://iiif.dl.itc.u-tokyo.ac.jp/iiif/katei/0633/06330006.tif/full/full/0/default.jpg
007.txt,default,https://iiif.dl.itc.u-tokyo.ac.jp/iiif/katei/0633/06330007.tif/full/full/0/default.jpg
008.txt,default,https://iiif.dl.itc.u-tokyo.ac.jp/iiif/katei/0633/06330008.tif/full/full/0/default.jpg
009.txt,default,https://iiif.dl.itc.u-tokyo.ac.jp/iiif/katei/0633/06330009.tif/full/full/0/default.jpg
010.txt,default,https://iiif.dl.itc.u-tokyo.ac.jp/iiif/katei/0633/06330010.tif/full/full/0/default.jpg
011.txt,default,https://iiif.dl.itc.u-tokyo.ac.jp/iiif/katei/0633/06330011.tif/full/full/0/default.jpg
012.txt,default,https://iiif.dl.itc.u-tokyo.ac.jp/iiif/katei/0633/06330012.tif/full/full/0/default.jpg
013.txt,default,https://iiif.dl.itc.u-tokyo.ac.jp/iiif/katei/0633/06330013.tif/full/full/0/default.jpg
014.txt,default,https://iiif.dl.itc.u-tokyo.ac.jp/iiif/katei/0633/06330014.tif/full/full/0/default.jpg
015.txt,default,https://iiif.dl.itc.u-tokyo.ac.jp/iiif/katei/0633/06330015.tif/full/full/0/default.jpg
016.txt,default,https://iiif.dl.itc.u-tokyo.ac.jp/iiif/katei/0633/06330016.tif/full/full/0/default.jpg
017.txt,default,https://iiif.dl.itc.u-tokyo.ac.jp/iiif/katei/0633/06330017.tif/full/full/0/default.jpg
018.txt,default,https://iiif.dl.itc.u-tokyo.ac.jp/iiif/katei/0633/06330018.tif/full/full/0/default.jpg
