id	label	manifestUrl	projectId	size	progress	attribution	thumbnail
005225C7E1EADD21E639113E6AEAA17A	七ツいろは並絵抄	https://d-archive.u-gakugei.ac.jp/iiif/item/ep20001366/manifest.json	gakugei	17	0	東京学芸大学教育コンテンツアーカイブ	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2FEP20001366%2F00001.tif/full/400,/0/default.jpg
04B643AB698048867221B37E43A10054	江戸名所図会 20巻 巻之7	https://d-archive.u-gakugei.ac.jp/iiif/item/07129484/manifest.json	gakugei	64	5	東京学芸大学教育コンテンツアーカイブ	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2F07129484%2F00001.tif/full/400,/0/default.jpg
0926DABA7113AE78D7A07ABEF4250C27	新板絵入伊勢物語 : かうしやく付 2巻 下	https://d-archive.u-gakugei.ac.jp/iiif/item/10911791/manifest.json	gakugei	22	0	東京学芸大学教育コンテンツアーカイブ	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2F10911791%2F00001.tif/full/400,/0/default.jpg
0E75FADA1BE6C960E4CDC4170B7F82DD	商売往来画抄	https://www.dheq.org/repo/iiif/3631/manifest	gakugei	26	9	東京学芸大学附属図書館	https://www.dheq.org/repo/files/medium/20f8a41d2ef3212214fc9843fe3535e97294af97.jpg
102F6D4506ABB76A7338F0E1371A21DB	絵本写宝袋 9巻 3之巻	https://d-archive.u-gakugei.ac.jp/iiif/item/10912160/manifest.json	gakugei	25	0	東京学芸大学教育コンテンツアーカイブ	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2F10912160%2F00001.tif/full/400,/0/default.jpg
1220697AD6FB510DE0216B5A8B42E54E	絵本写宝袋 9巻 5之巻	https://d-archive.u-gakugei.ac.jp/iiif/item/10912162/manifest.json	gakugei	23	0	東京学芸大学教育コンテンツアーカイブ	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2F10912162%2F00001.tif/full/400,/0/default.jpg
163486013FF8264A80270E4760E6F92C	源氏かるた絵合	https://www.dheq.org/repo/iiif/3635/manifest	gakugei	3	3	東京学芸大学附属図書館	https://www.dheq.org/repo/files/medium/274584ad565bdd17e801f812337edd4132cf7415.jpg
1D9148348141B52860894AE57F419B80	大日本物産双六	https://d-archive.u-gakugei.ac.jp/iiif/item/18505861/manifest.json	gakugei	1	1	東京学芸大学教育コンテンツアーカイブ	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2F18505861%2F0001.tif/full/400,/0/default.jpg
235A7EB0F0A629ECA83BD867A7A60663	絵本写宝袋 9巻 6之巻	https://d-archive.u-gakugei.ac.jp/iiif/item/10912163/manifest.json	gakugei	24	0	東京学芸大学教育コンテンツアーカイブ	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2F10912163%2F00001.tif/full/400,/0/default.jpg
23B00D2D4ECBE5B227A1C5ECDA982CA8	東海道上り列車鉄道寿語六	https://d-archive.u-gakugei.ac.jp/iiif/item/18505903/manifest.json	gakugei	1	1	東京学芸大学教育コンテンツアーカイブ	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2F18505903%2F0001.tif/full/400,/0/default.jpg
24C7A69B957493067D9192E20F8A290C	東海道名所双六	https://d-archive.u-gakugei.ac.jp/iiif/item/18505862/manifest.json	gakugei	1	0	東京学芸大学教育コンテンツアーカイブ	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2F18505862%2F0001.tif/full/400,/0/default.jpg
