filename	status	image
001.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000012%2FL000012_01.tif/full/full/0/default.jpg
002.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000012%2FL000012_02.tif/full/full/0/default.jpg
003.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000012%2FL000012_03.tif/full/full/0/default.jpg
004.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000012%2FL000012_04.tif/full/full/0/default.jpg
005.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000012%2FL000012_05.tif/full/full/0/default.jpg
006.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000012%2FL000012_06.tif/full/full/0/default.jpg
007.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000012%2FL000012_07.tif/full/full/0/default.jpg
008.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000012%2FL000012_08.tif/full/full/0/default.jpg
009.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000012%2FL000012_09.tif/full/full/0/default.jpg
010.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000012%2FL000012_10.tif/full/full/0/default.jpg
011.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000012%2FL000012_11.tif/full/full/0/default.jpg
012.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000012%2FL000012_12.tif/full/full/0/default.jpg
013.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000012%2FL000012_13.tif/full/full/0/default.jpg
014.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000012%2FL000012_14.tif/full/full/0/default.jpg
015.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000012%2FL000012_15.tif/full/full/0/default.jpg
016.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000012%2FL000012_16.tif/full/full/0/default.jpg
017.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000012%2FL000012_17.tif/full/full/0/default.jpg
018.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000012%2FL000012_18.tif/full/full/0/default.jpg
019.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000012%2FL000012_19.tif/full/full/0/default.jpg
020.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000012%2FL000012_20.tif/full/full/0/default.jpg
021.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000012%2FL000012_21.tif/full/full/0/default.jpg
022.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000012%2FL000012_22.tif/full/full/0/default.jpg
023.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000012%2FL000012_23.tif/full/full/0/default.jpg
024.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000012%2FL000012_24.tif/full/full/0/default.jpg
025.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000012%2FL000012_25.tif/full/full/0/default.jpg
026.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000012%2FL000012_26.tif/full/full/0/default.jpg
027.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000012%2FL000012_27.tif/full/full/0/default.jpg
028.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000012%2FL000012_28.tif/full/full/0/default.jpg
029.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000012%2FL000012_29.tif/full/full/0/default.jpg
030.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000012%2FL000012_30.tif/full/full/0/default.jpg
031.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000012%2FL000012_31.tif/full/full/0/default.jpg
