filename	status	image
001.txt	completed	https://gallica.bnf.fr/iiif/ark:/12148/btv1b85968591/f1/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b85968591/canvas/f1
002.txt	completed	https://gallica.bnf.fr/iiif/ark:/12148/btv1b85968591/f2/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b85968591/canvas/f2
003.txt	completed	https://gallica.bnf.fr/iiif/ark:/12148/btv1b85968591/f3/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b85968591/canvas/f3
004.txt	completed	https://gallica.bnf.fr/iiif/ark:/12148/btv1b85968591/f4/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b85968591/canvas/f4
005.txt	completed	https://gallica.bnf.fr/iiif/ark:/12148/btv1b85968591/f5/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b85968591/canvas/f5
006.txt	completed	https://gallica.bnf.fr/iiif/ark:/12148/btv1b85968591/f6/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b85968591/canvas/f6
007.txt	completed	https://gallica.bnf.fr/iiif/ark:/12148/btv1b85968591/f7/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b85968591/canvas/f7
008.txt	completed	https://gallica.bnf.fr/iiif/ark:/12148/btv1b85968591/f8/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b85968591/canvas/f8
009.txt	completed	https://gallica.bnf.fr/iiif/ark:/12148/btv1b85968591/f9/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b85968591/canvas/f9
010.txt	initiated	https://gallica.bnf.fr/iiif/ark:/12148/btv1b85968591/f10/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b85968591/canvas/f10
011.txt	completed	https://gallica.bnf.fr/iiif/ark:/12148/btv1b85968591/f11/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b85968591/canvas/f11
012.txt	completed	https://gallica.bnf.fr/iiif/ark:/12148/btv1b85968591/f12/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b85968591/canvas/f12
013.txt	completed	https://gallica.bnf.fr/iiif/ark:/12148/btv1b85968591/f13/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b85968591/canvas/f13
014.txt	initiated	https://gallica.bnf.fr/iiif/ark:/12148/btv1b85968591/f14/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b85968591/canvas/f14
015.txt	initiated	https://gallica.bnf.fr/iiif/ark:/12148/btv1b85968591/f15/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b85968591/canvas/f15
016.txt	completed	https://gallica.bnf.fr/iiif/ark:/12148/btv1b85968591/f16/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b85968591/canvas/f16
017.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b85968591/f17/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b85968591/canvas/f17
018.txt	completed	https://gallica.bnf.fr/iiif/ark:/12148/btv1b85968591/f18/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b85968591/canvas/f18
019.txt	initiated	https://gallica.bnf.fr/iiif/ark:/12148/btv1b85968591/f19/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b85968591/canvas/f19
020.txt	initiated	https://gallica.bnf.fr/iiif/ark:/12148/btv1b85968591/f20/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b85968591/canvas/f20
021.txt	initiated	https://gallica.bnf.fr/iiif/ark:/12148/btv1b85968591/f21/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b85968591/canvas/f21
