filename,status,image
001.txt,completed,https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!133_ta_09!001.tif/full/full/0/default.jpg
002.txt,completed,https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!133_ta_09!002.tif/full/full/0/default.jpg
003.txt,completed,https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!133_ta_09!003.tif/full/full/0/default.jpg
004.txt,completed,https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!133_ta_09!004.tif/full/full/0/default.jpg
005.txt,completed,https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!133_ta_09!005.tif/full/full/0/default.jpg
006.txt,completed,https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!133_ta_09!006.tif/full/full/0/default.jpg
007.txt,completed,https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!133_ta_09!007.tif/full/full/0/default.jpg
008.txt,completed,https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!133_ta_09!008.tif/full/full/0/default.jpg
009.txt,completed,https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!133_ta_09!009.tif/full/full/0/default.jpg
010.txt,completed,https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!133_ta_09!010.tif/full/full/0/default.jpg
011.txt,completed,https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!133_ta_09!011.tif/full/full/0/default.jpg
012.txt,completed,https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!133_ta_09!012.tif/full/full/0/default.jpg
013.txt,completed,https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!133_ta_09!013.tif/full/full/0/default.jpg
014.txt,completed,https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!133_ta_09!014.tif/full/full/0/default.jpg
015.txt,completed,https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!133_ta_09!015.tif/full/full/0/default.jpg
016.txt,completed,https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!133_ta_09!016.tif/full/full/0/default.jpg
017.txt,completed,https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!133_ta_09!017.tif/full/full/0/default.jpg
018.txt,completed,https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!133_ta_09!018.tif/full/full/0/default.jpg
019.txt,completed,https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!133_ta_09!019.tif/full/full/0/default.jpg
020.txt,completed,https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!133_ta_09!020.tif/full/full/0/default.jpg
021.txt,completed,https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!133_ta_09!021.tif/full/full/0/default.jpg
022.txt,completed,https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!133_ta_09!022.tif/full/full/0/default.jpg
023.txt,completed,https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!133_ta_09!023.tif/full/full/0/default.jpg
024.txt,completed,https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!133_ta_09!024.tif/full/full/0/default.jpg
025.txt,completed,https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!133_ta_09!025.tif/full/full/0/default.jpg
026.txt,completed,https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!133_ta_09!026.tif/full/full/0/default.jpg
027.txt,completed,https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!133_ta_09!027.tif/full/full/0/default.jpg
028.txt,completed,https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!133_ta_09!028.tif/full/full/0/default.jpg
029.txt,completed,https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!133_ta_09!029.tif/full/full/0/default.jpg
030.txt,completed,https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!133_ta_09!030.tif/full/full/0/default.jpg
031.txt,completed,https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!133_ta_09!031.tif/full/full/0/default.jpg
