filename	status	image	canvasId
001.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500680m/f1/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500680m/canvas/f1
002.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500680m/f2/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500680m/canvas/f2
003.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500680m/f3/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500680m/canvas/f3
004.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500680m/f4/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500680m/canvas/f4
005.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500680m/f5/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500680m/canvas/f5
006.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500680m/f6/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500680m/canvas/f6
007.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500680m/f7/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500680m/canvas/f7
008.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500680m/f8/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500680m/canvas/f8
009.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500680m/f9/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500680m/canvas/f9
010.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500680m/f10/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500680m/canvas/f10
011.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500680m/f11/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500680m/canvas/f11
012.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500680m/f12/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500680m/canvas/f12
013.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500680m/f13/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500680m/canvas/f13
014.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500680m/f14/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500680m/canvas/f14
015.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500680m/f15/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500680m/canvas/f15
016.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500680m/f16/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500680m/canvas/f16
