filename	status	image
001.txt	default	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL001129%2FL001129_01.tif/full/full/0/default.jpg
002.txt	default	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL001129%2FL001129_02.tif/full/full/0/default.jpg
003.txt	default	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL001129%2FL001129_03.tif/full/full/0/default.jpg
004.txt	default	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL001129%2FL001129_04.tif/full/full/0/default.jpg
005.txt	default	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL001129%2FL001129_05.tif/full/full/0/default.jpg
006.txt	default	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL001129%2FL001129_06.tif/full/full/0/default.jpg
007.txt	default	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL001129%2FL001129_07.tif/full/full/0/default.jpg
008.txt	default	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL001129%2FL001129_08.tif/full/full/0/default.jpg
009.txt	default	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL001129%2FL001129_09.tif/full/full/0/default.jpg
010.txt	default	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL001129%2FL001129_10.tif/full/full/0/default.jpg
011.txt	default	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL001129%2FL001129_11.tif/full/full/0/default.jpg
012.txt	default	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL001129%2FL001129_12.tif/full/full/0/default.jpg
013.txt	default	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL001129%2FL001129_13.tif/full/full/0/default.jpg
014.txt	default	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL001129%2FL001129_14.tif/full/full/0/default.jpg
015.txt	default	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL001129%2FL001129_15.tif/full/full/0/default.jpg
016.txt	default	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL001129%2FL001129_16.tif/full/full/0/default.jpg
017.txt	default	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL001129%2FL001129_17.tif/full/full/0/default.jpg
018.txt	default	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL001129%2FL001129_18.tif/full/full/0/default.jpg
019.txt	default	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL001129%2FL001129_19.tif/full/full/0/default.jpg
020.txt	default	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL001129%2FL001129_20.tif/full/full/0/default.jpg
021.txt	default	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL001129%2FL001129_21.tif/full/full/0/default.jpg
022.txt	default	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL001129%2FL001129_22.tif/full/full/0/default.jpg
023.txt	default	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL001129%2FL001129_23.tif/full/full/0/default.jpg
024.txt	default	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL001129%2FL001129_24.tif/full/full/0/default.jpg
025.txt	default	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL001129%2FL001129_25.tif/full/full/0/default.jpg
026.txt	default	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL001129%2FL001129_26.tif/full/full/0/default.jpg
027.txt	default	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL001129%2FL001129_27.tif/full/full/0/default.jpg
