filename	status	image
001.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100040576/v4/0078/0078-0002001/0078-0002001-0000.tif/full/full/0/default.jpg
002.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100040576/v4/0078/0078-0002001/0078-0002001-0001.tif/full/full/0/default.jpg
003.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100040576/v4/0078/0078-0002001/0078-0002001-0002.tif/full/full/0/default.jpg
004.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100040576/v4/0078/0078-0002001/0078-0002001-0003.tif/full/full/0/default.jpg
005.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100040576/v4/0078/0078-0002001/0078-0002001-0004.tif/full/full/0/default.jpg
006.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100040576/v4/0078/0078-0002001/0078-0002001-0005.tif/full/full/0/default.jpg
007.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100040576/v4/0078/0078-0002001/0078-0002001-0006.tif/full/full/0/default.jpg
008.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100040576/v4/0078/0078-0002001/0078-0002001-0007.tif/full/full/0/default.jpg
009.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100040576/v4/0078/0078-0002001/0078-0002001-0008.tif/full/full/0/default.jpg
010.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100040576/v4/0078/0078-0002001/0078-0002001-0009.tif/full/full/0/default.jpg
011.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100040576/v4/0078/0078-0002001/0078-0002001-0010.tif/full/full/0/default.jpg
012.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100040576/v4/0078/0078-0002001/0078-0002001-0011.tif/full/full/0/default.jpg
013.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100040576/v4/0078/0078-0002001/0078-0002001-0012.tif/full/full/0/default.jpg
014.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100040576/v4/0078/0078-0002001/0078-0002001-0013.tif/full/full/0/default.jpg
015.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100040576/v4/0078/0078-0002001/0078-0002001-0014.tif/full/full/0/default.jpg
016.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100040576/v4/0078/0078-0002001/0078-0002001-0015.tif/full/full/0/default.jpg
017.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100040576/v4/0078/0078-0002001/0078-0002001-0016.tif/full/full/0/default.jpg
